Item#,U 08/2020,U 07/2020,U 06/2020,U 05/2020,U 04/2020,U 03/2020,U 02/2020,U 01/2020,U 12/2019,U 11/2019,U 10/2019,U 09/2019
MEM-DR380L-WL01-CS045,0,0,"1,209",0,4,0,0,1,0,0,1,0
MEM-DR412L-CL01-ER26,0,0,0,0,1,0,0,0,0,0,0,0
MEM-DR412L-HL01-LR26,0,0,0,0,0,0,0,0,0,12,0,0
MEM-DR412L-SL01-ER32,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR412L-SL01-GT09,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR412L-SL01-NI22,0,0,126,0,0,0,56,0,0,0,124,0
MEM-DR412L-SL02-LR26,0,0,0,0,0,0,0,0,0,0,0,16
MEM-DR416L-AL01-NV24,0,0,0,0,0,6,7,11,7,1,4,19
MEM-DR416L-CL01-ER21,0,0,70,0,0,0,2,0,0,0,0,0
MEM-DR416L-CL01-ER24,0,0,0,0,0,0,20,0,0,0,0,0
MEM-DR416L-CL01-EU21,0,0,0,0,0,0,0,4,0,0,0,0
MEM-DR416L-CL01-NV26,0,2,1,0,1,0,0,1,0,0,0,0
MEM-DR416L-CL01-NV32,0,0,0,0,1,0,16,0,0,0,0,0
MEM-DR416L-CL01-SO26,0,0,2,0,0,0,0,0,2,0,4,2
MEM-DR416L-CL01-UN24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL01-UN32,0,0,0,0,0,0,0,0,0,0,8,0
MEM-DR416L-CL02-ER26,0,0,16,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-ER32,0,100,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-ES24,0,2,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-SO21,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL02-ST031,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL03-ER26,0,1,0,0,1,0,51,1,2,5,0,0
MEM-DR416L-CL05-ER24,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR416L-CL05-ER26,0,0,38,0,0,0,0,0,0,0,0,0
